Giorno;00:00-00:15;00:15-00:30;00:30-00:45;00:45-01:00;01:00-01:15;01:15-01:30;01:30-01:45;01:45-02:00;02:00-02:15;02:15-02:30;02:30-02:45;02:45-03:00;03:00-03:15;03:15-03:30;03:30-03:45;03:45-04:00;04:00-04:15;04:15-04:30;04:30-04:45;04:45-05:00;05:00-05:15;05:15-05:30;05:30-05:45;05:45-06:00;06:00-06:15;06:15-06:30;06:30-06:45;06:45-07:00;07:00-07:15;07:15-07:30;07:30-07:45;07:45-08:00;08:00-08:15;08:15-08:30;08:30-08:45;08:45-09:00;09:00-09:15;09:15-09:30;09:30-09:45;09:45-10:00;10:00-10:15;10:15-10:30;10:30-10:45;10:45-11:00;11:00-11:15;11:15-11:30;11:30-11:45;11:45-12:00;12:00-12:15;12:15-12:30;12:30-12:45;12:45-13:00;13:00-13:15;13:15-13:30;13:30-13:45;13:45-14:00;14:00-14:15;14:15-14:30;14:30-14:45;14:45-15:00;15:00-15:15;15:15-15:30;15:30-15:45;15:45-16:00;16:00-16:15;16:15-16:30;16:30-16:45;16:45-17:00;17:00-17:15;17:15-17:30;17:30-17:45;17:45-18:00;18:00-18:15;18:15-18:30;18:30-18:45;18:45-19:00;19:00-19:15;19:15-19:30;19:30-19:45;19:45-20:00;20:00-20:15;20:15-20:30;20:30-20:45;20:45-21:00;21:00-21:15;21:15-21:30;21:30-21:45;21:45-22:00;22:00-22:15;22:15-22:30;22:30-22:45;22:45-23:00;23:00-23:15;23:15-23:30;23:30-23:45;23:45-00:00
"01/12/2021";"0,046";"0,045";"0,038";"0,037";"0,015";"0,007";"0,015";"0,009";"0,004";"0,011";"0,009";"0,004";"0,01";"0,009";"0,004";"0,009";"0,011";"0,004";"0,007";"0,013";"0,004";"0,004";"0,016";"0,004";"0,003";"0,016";"0,004";"0,004";"0,012";"0,008";"0,004";"0,007";"0,013";"0,004";"0,004";"0,016";"0,008";"0,005";"0,015";"0,215";"0,148";"0,024";"0,004";"0,003";"0,016";"0,004";"0,004";"0,016";"0,003";"0,004";"0,013";"0,006";"0,004";"0,01";"0,01";"0,004";"0,006";"0,013";"0,004";"0,003";"0,016";"0,004";"0,003";"0,016";"0,004";"0,003";"0,025";"0,034";"0,049";"0,332";"0,063";"0,384";"0,188";"0,025";"0,013";"0,013";"0,019";"0,017";"0,039";"0,049";"0,448";"0,328";"0,307";"0,273";"0,038";"0,012";"0,018";"0,019";"0,014";"0,025";"0,016";"0,012";"0,025";"0,014";"0,014";"0,026";
"02/12/2021";"0,013";"0,026";"0,033";"0,011";"0,012";"0,019";"0,007";"0,006";"0,017";"0,004";"0,005";"0,016";"0,005";"0,004";"0,014";"0,006";"0,004";"0,01";"0,01";"0,004";"0,006";"0,013";"0,004";"0,004";"0,016";"0,004";"0,004";"0,01";"0,01";"0,003";"0,004";"0,017";"0,004";"0,003";"0,013";"0,008";"0,005";"0,008";"0,017";"0,013";"0,014";"0,053";"0,376";"0,187";"0,111";"0,049";"0,075";"0,029";"0,017";"0,34";"0,295";"0,068";"0,007";"0,014";"0,004";"0,006";"0,014";"0,004";"0,006";"0,016";"0,004";"0,004";"0,017";"0,004";"0,004";"0,016";"0,004";"0,005";"0,014";"0,007";"0,004";"0,011";"0,01";"0,004";"0,008";"0,013";"0,004";"0,005";"0,016";"0,005";"0,004";"0,014";"0,007";"0,004";"0,009";"0,013";"0,004";"0,004";"0,017";"0,004";"0,004";"0,013";"0,009";"0,004";"0,007";"0,014";
"03/12/2021";"0,004";"0,005";"0,016";"0,004";"0,005";"0,01";"0,01";"0,004";"0,004";"0,018";"0,004";"0,004";"0,012";"0,01";"0,004";"0,004";"0,017";"0,004";"0,005";"0,009";"0,012";"0,004";"0,005";"0,015";"0,005";"0,005";"0,005";"0,016";"0,005";"0,004";"0,009";"0,013";"0,004";"0,004";"0,012";"0,01";"0,004";"0,004";"0,014";"0,008";"0,005";"0,004";"0,016";"0,005";"0,004";"0,007";"0,015";"0,004";"0,004";"0,013";"0,009";"0,004";"0,004";"0,016";"0,005";"0,004";"0,009";"0,012";"0,004";"0,005";"0,013";"0,008";"0,004";"0,004";"0,017";"0,005";"0,004";"0,007";"0,014";"0,004";"0,004";"0,013";"0,008";"0,005";"0,004";"0,017";"0,005";"0,004";"0,005";"0,017";"0,004";"0,004";"0,009";"0,013";"0,004";"0,004";"0,012";"0,01";"0,004";"0,004";"0,014";"0,007";"0,005";"0,004";"0,016";"0,006";
"04/12/2021";"0,004";"0,004";"0,019";"0,004";"0,004";"0,004";"0,018";"0,004";"0,004";"0,005";"0,017";"0,004";"0,005";"0,006";"0,016";"0,004";"0,004";"0,007";"0,015";"0,004";"0,005";"0,006";"0,015";"0,004";"0,005";"0,005";"0,017";"0,004";"0,004";"0,004";"0,019";"0,004";"0,004";"0,004";"0,017";"0,005";"0,005";"0,004";"0,014";"0,007";"0,005";"0,004";"0,013";"0,009";"0,005";"0,004";"0,011";"0,011";"0,004";"0,005";"0,033";"0,041";"0,033";"0,033";"0,036";"0,042";"0,033";"0,033";"0,036";"0,044";"0,032";"0,032";"0,033";"0,045";"0,032";"0,033";"0,032";"0,046";"0,032";"0,032";"0,032";"0,044";"0,034";"0,032";"0,033";"0,042";"0,036";"0,033";"0,032";"0,04";"0,039";"0,033";"0,032";"0,036";"0,042";"0,033";"0,032";"0,033";"0,047";"0,032";"0,033";"0,033";"0,045";"0,034";"0,032";"0,033";
"05/12/2021";"0,043";"0,038";"0,033";"0,033";"0,037";"0,041";"0,033";"0,032";"0,033";"0,046";"0,032";"0,033";"0,032";"0,042";"0,037";"0,033";"0,033";"0,038";"0,042";"0,032";"0,033";"0,033";"0,047";"0,033";"0,033";"0,032";"0,042";"0,038";"0,033";"0,032";"0,035";"0,045";"0,033";"0,032";"0,033";"0,043";"0,036";"0,032";"0,032";"0,037";"0,041";"0,032";"0,033";"0,034";"0,045";"0,033";"0,032";"0,033";"0,046";"0,033";"0,033";"0,032";"0,044";"0,036";"0,031";"0,032";"0,039";"0,033";"0,028";"0,03";"0,038";"0,033";"0,028";"0,029";"0,039";"0,033";"0,028";"0,028";"0,04";"0,03";"0,028";"0,03";"0,039";"0,086";"0,364";"0,06";"0,223";"0,494";"0,067";"0,058";"0,049";"0,074";"0,075";"0,032";"0,034";"0,071";"0,389";"0,129";"0,2";"0,397";"0,138";"0,045";"0,039";"0,035";"0,045";"0,026";
"06/12/2021";"0,019";"0,02";"0,021";"0,009";"0,007";"0,019";"0,006";"0,008";"0,018";"0,004";"0,004";"0,014";"0,007";"0,004";"0,008";"0,013";"0,005";"0,004";"0,015";"0,006";"0,004";"0,007";"0,014";"0,004";"0,004";"0,013";"0,009";"0,004";"0,004";"0,016";"0,005";"0,004";"0,004";"0,018";"0,004";"0,003";"0,009";"0,02";"0,032";"0,034";"0,031";"0,021";"0,038";"0,048";"0,037";"0,037";"0,042";"0,042";"0,032";"0,031";"0,042";"0,031";"0,038";"0,04";"0,028";"0,04";"0,028";"0,028";"0,04";"0,013";"0,013";"0,017";"0,019";"0,032";"0,028";"0,025";"0,035";"0,028";"0,004";"0,025";"0,016";"0,025";"0,042";"0,03";"0,033";"0,04";"0,03";"0,033";"0,041";"0,031";"0,06";"0,059";"0,05";"0,055";"0,053";"0,05";"0,059";"0,107";"0,056";"0,06";"0,051";"0,022";"0,025";"0,032";"0,022";"0,024";
"07/12/2021";"0,038";"0,023";"0,023";"0,027";"0,027";"0,009";"0,014";"0,017";"0,006";"0,006";"0,017";"0,004";"0,004";"0,014";"0,007";"0,004";"0,008";"0,012";"0,004";"0,004";"0,015";"0,005";"0,004";"0,007";"0,014";"0,003";"0,004";"0,013";"0,008";"0,004";"0,003";"0,017";"0,004";"0,004";"0,007";"0,018";"0,005";"0,004";"0,01";"0,01";"0,004";"0,004";"0,013";"0,007";"0,004";"0,003";"0,017";"0,004";"0,003";"0,006";"0,015";"0,003";"0,004";"0,152";"0,291";"0,244";"0,043";"0,047";"0,041";"0,038";"0,06";"0,384";"0,261";"0,045";"0,007";"0,006";"0,014";"0,009";"0,004";"0,006";"0,016";"0,005";"0,004";"0,013";"0,01";"0,012";"0,03";"0,064";"0,047";"0,048";"0,056";"0,054";"0,042";"0,065";"0,053";"0,055";"0,059";"0,053";"0,062";"0,048";"0,053";"0,058";"0,048";"0,057";"0,056";"0,052";
"08/12/2021";"0,057";"0,056";"0,051";"0,06";"0,055";"0,051";"0,058";"0,054";"0,05";"0,054";"0,056";"0,05";"0,056";"0,053";"0,051";"0,06";"0,053";"0,05";"0,021";"0,007";"0,003";"0,012";"0,008";"0,004";"0,01";"0,01";"0,004";"0,006";"0,013";"0,003";"0,004";"0,017";"0,004";"0,004";"0,012";"0,008";"0,004";"0,005";"0,018";"0,004";"0,01";"0,032";"0,02";"0,004";"0,01";"0,01";"0,004";"0,004";"0,016";"0,005";"0,004";"0,007";"0,013";"0,008";"0,022";"0,059";"0,425";"0,142";"0,195";"0,559";"0,408";"0,044";"0,048";"0,363";"0,358";"0,116";"0,039";"0,041";"0,034";"0,036";"0,053";"0,444";"0,134";"0,203";"0,015";"0,023";"0,012";"0,343";"0,37";"0,027";"0,006";"0,015";"0,005";"0,006";"0,015";"0,004";"0,005";"0,017";"0,004";"0,004";"0,017";"0,005";"0,004";"0,014";"0,008";"0,021";
"09/12/2021";"0,016";"0,015";"0,009";"0,005";"0,018";"0,004";"0,005";"0,012";"0,011";"0,004";"0,005";"0,017";"0,005";"0,004";"0,008";"0,015";"0,005";"0,004";"0,011";"0,012";"0,005";"0,004";"0,013";"0,01";"0,004";"0,006";"0,017";"0,011";"0,005";"0,004";"0,016";"0,028";"0,028";"0,029";"0,041";"0,035";"0,012";"0,005";"0,017";"0,004";"0,004";"0,007";"0,016";"0,004";"0,005";"0,007";"0,015";"0,005";"0,004";"0,006";"0,017";"0,004";"0,028";"0,029";"0,044";"0,029";"0,016";"0,005";"0,041";"0,028";"0,029";"0,039";"0,03";"0,029";"0,033";"0,036";"0,027";"0,03";"0,365";"0,086";"0,356";"0,211";"0,033";"0,043";"0,048";"0,039";"0,04";"0,045";"0,018";"0,017";"0,029";"0,028";"0,014";"0,038";"0,043";"0,035";"0,048";"0,034";"0,037";"0,063";"0,061";"0,058";"0,058";"0,028";"0,023";"0,013";
"10/12/2021";"0,012";"0,004";"0,006";"0,016";"0,004";"0,004";"0,015";"0,006";"0,004";"0,008";"0,014";"0,004";"0,004";"0,014";"0,007";"0,004";"0,005";"0,017";"0,004";"0,004";"0,009";"0,013";"0,004";"0,004";"0,011";"0,011";"0,004";"0,004";"0,013";"0,008";"0,004";"0,004";"0,014";"0,008";"0,004";"0,004";"0,014";"0,008";"0,006";"0,032";"0,038";"0,092";"0,03";"0,038";"0,045";"0,038";"0,041";"0,032";"0,015";"0,014";"0,031";"0,016";"0,255";"0,194";"0,018";"0,014";"0,02";"0,022";"0,021";"0,022";"0,034";"0,021";"0,021";"0,029";"0,013";"0,007";"0,016";"0,012";"0,007";"0,008";"0,024";"0,012";"0,016";"0,024";"0,024";"0,018";"0,017";"0,03";"0,017";"0,019";"0,017";"0,015";"0,004";"0,003";"0,009";"0,013";"0,004";"0,003";"0,009";"0,013";"0,004";"0,004";"0,007";"0,015";"0,004";"0,004";
