Giorno;00:00-00:15;00:15-00:30;00:30-00:45;00:45-01:00;01:00-01:15;01:15-01:30;01:30-01:45;01:45-02:00;02:00-02:15;02:15-02:30;02:30-02:45;02:45-03:00;03:00-03:15;03:15-03:30;03:30-03:45;03:45-04:00;04:00-04:15;04:15-04:30;04:30-04:45;04:45-05:00;05:00-05:15;05:15-05:30;05:30-05:45;05:45-06:00;06:00-06:15;06:15-06:30;06:30-06:45;06:45-07:00;07:00-07:15;07:15-07:30;07:30-07:45;07:45-08:00;08:00-08:15;08:15-08:30;08:30-08:45;08:45-09:00;09:00-09:15;09:15-09:30;09:30-09:45;09:45-10:00;10:00-10:15;10:15-10:30;10:30-10:45;10:45-11:00;11:00-11:15;11:15-11:30;11:30-11:45;11:45-12:00;12:00-12:15;12:15-12:30;12:30-12:45;12:45-13:00;13:00-13:15;13:15-13:30;13:30-13:45;13:45-14:00;14:00-14:15;14:15-14:30;14:30-14:45;14:45-15:00;15:00-15:15;15:15-15:30;15:30-15:45;15:45-16:00;16:00-16:15;16:15-16:30;16:30-16:45;16:45-17:00;17:00-17:15;17:15-17:30;17:30-17:45;17:45-18:00;18:00-18:15;18:15-18:30;18:30-18:45;18:45-19:00;19:00-19:15;19:15-19:30;19:30-19:45;19:45-20:00;20:00-20:15;20:15-20:30;20:30-20:45;20:45-21:00;21:00-21:15;21:15-21:30;21:30-21:45;21:45-22:00;22:00-22:15;22:15-22:30;22:30-22:45;22:45-23:00;23:00-23:15;23:15-23:30;23:30-23:45;23:45-00:00;
"01/01/2021";"0,009";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,017";"0,025";"0,023";"0,018";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,021";"0,024";"0,024";"0,016";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,004";"0,013";"0,025";"0,023";"0,023";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,007";"0,025";"0,023";"0,024";"0,009";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,017";"0,024";"0,024";"0,018";"0,004";"0,003";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,004";"0,003";"0,024";"0,024";"0,023";"0,013";"0,003";"0,004";"0,003";"0,004";
"02/01/2021";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,006";"0,024";"0,024";"0,023";"0,009";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,012";"0,025";"0,023";"0,023";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,014";"0,024";"0,023";"0,02";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,018";"0,024";"0,023";"0,015";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,009";"0,024";"0,024";"0,02";"0,003";"0,004";"0,003";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,004";"0,003";"0,004";"0,018";"0,024";"0,023";"0,013";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";
"03/01/2021";"0,003";"0,004";"0,003";"0,004";"0,003";"0,006";"0,025";"0,023";"0,023";"0,005";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,013";"0,024";"0,023";"0,017";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,025";"0,024";"0,023";"0,004";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,022";"0,024";"0,023";"0,008";"0,004";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,003";"0,004";"0,016";"0,024";"0,023";"0,01";"0,004";"0,003";"0,004";"0,003";"0,02";"0,041";"0,047";"0,047";"0,047";"0,048";"0,059";"0,07";"0,066";"0,06";"0,044";"0,043";"0,045";"0,043";"0,042";"0,04";"0,047";"0,043";"0,041";"0,042";"0,059";"0,061";
"04/01/2021";"0,062";"0,052";"0,033";"0,034";"0,031";"0,033";"0,031";"0,03";"0,026";"0,004";"0,004";"0,004";"0,021";"0,025";"0,024";"0,02";"0,004";"0,004";"0,004";"0,034";"0,031";"0,028";"0,004";"0,004";"0,003";"0,004";"0,015";"0,025";"0,035";"0,053";"0,036";"0,02";"0,004";"0,004";"0,003";"0,004";"0,004";"0,012";"0,035";"0,044";"0,062";"0,069";"0,078";"0,07";"0,047";"0,045";"0,033";"0,038";"0,038";"0,036";"0,034";"0,035";"0,035";"0,039";"0,06";"0,065";"0,075";"0,074";"0,051";"0,049";"0,051";"0,051";"0,049";"0,049";"0,053";"0,052";"0,054";"0,05";"0,069";"0,067";"0,066";"0,064";"0,048";"0,047";"0,046";"0,047";"0,046";"0,042";"0,042";"0,043";"0,044";"0,066";"0,068";"0,066";"0,065";"0,078";"0,069";"0,47";"0,277";"0,059";"0,057";"0,056";"0,056";"0,071";"0,074";"0,067";
"05/01/2021";"0,065";"0,06";"0,044";"0,045";"0,044";"0,046";"0,037";"0,03";"0,028";"0,03";"0,032";"0,05";"0,05";"0,046";"0,047";"0,032";"0,026";"0,027";"0,026";"0,027";"0,026";"0,027";"0,025";"0,027";"0,039";"0,048";"0,045";"0,047";"0,041";"0,025";"0,026";"0,026";"0,027";"0,01";"0,004";"0,004";"0,004";"0,004";"0,023";"0,036";"0,046";"0,045";"0,036";"0,027";"0,028";"0,033";"0,033";"0,039";"0,093";"0,04";"0,018";"0,02";"0,036";"0,033";"0,034";"0,046";"0,038";"0,037";"0,038";"0,035";"0,035";"0,034";"0,035";"0,038";"0,062";"0,061";"0,065";"0,048";"0,035";"0,029";"0,027";"0,027";"0,027";"0,027";"0,027";"0,052";"0,066";"0,07";"0,077";"0,082";"0,064";"0,054";"0,053";"0,061";"0,067";"0,053";"0,056";"0,055";"0,06";"0,074";"0,074";"0,072";"0,072";"0,063";"0,056";"0,099";
"06/01/2021";"0,088";"0,063";"0,055";"0,054";"0,053";"0,057";"0,075";"0,074";"0,073";"0,073";"0,055";"0,053";"0,04";"0,007";"0,007";"0,008";"0,007";"0,006";"0,006";"0,017";"0,026";"0,024";"0,024";"0,011";"0,004";"0,004";"0,004";"0,004";"0,004";"0,004";"0,004";"0,004";"0,004";"0,022";"0,024";"0,024";"0,021";"0,004";"0,004";"0,004";"0,004";"0,004";"0,004";"0,004";"0,004";"0,004";"0,008";"0,026";"0,024";"0,025";"0,017";"0,195";"0,067";"0,013";"0,034";"0,048";"0,041";"0,034";"0,059";"0,057";"0,06";"0,056";"0,122";"0,097";"0,094";"0,04";"0,037";"0,036";"0,038";"0,044";"0,063";"0,12";"0,065";"0,07";"0,046";"0,01";"0,01";"0,01";"0,008";"0,007";"0,007";"0,005";"0,086";"0,307";"0,063";"0,033";"0,038";"0,01";"0,006";"0,007";"0,007";"0,007";"0,007";"0,007";"0,007";"0,007";
"07/01/2021";"0,006";"0,007";"0,025";"0,027";"0,027";"0,032";"0,021";"0,021";"0,008";"0,007";"0,006";"0,006";"0,007";"0,006";"0,007";"0,006";"0,025";"0,025";"0,024";"0,014";"0,004";"0,003";"0,004";"0,004";"0,003";"0,004";"0,004";"0,003";"0,004";"0,004";"0,019";"0,024";"0,023";"0,021";"0,003";"0,004";"0,003";"0,004";"0,004";"0,003";"0,004";"0,003";"0,004";"0,004";"0,005";"0,026";"0,054";"0,05";"0,047";"0,032";"0,217";"0,086";"0,012";"0,015";"0,013";"0,004";"0,004";"0,004";"0,003";"0,023";"0,024";"0,024";"0,021";"0,004";"0,003";"0,004";"0,004";"0,008";"0,025";"0,025";"0,025";"0,023";"0,022";"0,062";"0,063";"0,064";"0,062";"0,047";"0,047";"0,053";"0,489";"0,328";"0,317";"0,395";"0,571";"0,084";"0,099";"0,091";"0,091";"0,09";"0,076";"0,066";"0,068";"0,06";"0,05";"0,05";
"08/01/2021";"0,05";"0,05";"0,01";"0,008";"0,028";"0,027";"0,026";"0,017";"0,007";"0,005";"0,005";"0,005";"0,004";"0,004";"0,004";"0,004";"0,004";"0,003";"0,024";"0,024";"0,024";"0,013";"0,004";"0,003";"0,004";"0,004";"0,004";"0,004";"0,003";"0,004";"0,004";"0,004";"0,011";"0,025";"0,023";"0,023";"0,004";"0,004";"0,029";"0,031";"0,032";"0,056";"0,059";"0,051";"0,049";"0,052";"0,065";"0,062";"0,065";"0,067";"0,048";"0,045";"0,041";"0,041";"0,042";"0,04";"0,042";"0,039";"0,048";"0,062";"0,057";"0,037";"0,027";"0,016";"0,017";"0,02";"0,019";"0,018";"0,019";"0,024";"0,023";"0,027";"0,041";"0,054";"0,068";"0,064";"0,038";"0,034";"0,047";"0,043";"0,045";"0,053";"0,052";"0,072";"0,072";"0,062";"0,038";"0,026";"0,028";"0,027";"0,031";"0,026";"0,026";"0,032";"0,024";"0,02";
"09/01/2021";"0,035";"0,033";"0,031";"0,014";"0,005";"0,008";"0,011";"0,008";"0,006";"0,009";"0,01";"0,008";"0,008";"0,023";"0,024";"0,024";"0,017";"0,007";"0,007";"0,007";"0,007";"0,005";"0,006";"0,005";"0,005";"0,006";"0,007";"0,026";"0,025";"0,023";"0,01";"0,005";"0,004";"0,004";"0,004";"0,004";"0,003";"0,013";"0,046";"0,051";"0,079";"0,073";"0,057";"0,024";"0,012";"0,003";"0,004";"0,004";"0,003";"0,004";"0,004";"0,003";"0,004";"0,004";"0,009";"0,025";"0,024";"0,023";"0,008";"0,004";"0,004";"0,003";"0,004";"0,004";"0,003";"0,004";"0,004";"0,003";"0,011";"0,058";"0,056";"0,069";"0,097";"0,025";"0,006";"0,006";"0,007";"0,006";"0,006";"0,007";"0,006";"0,007";"0,006";"0,027";"0,026";"0,027";"0,017";"0,006";"0,007";"0,01";"0,01";"0,009";"0,01";"0,009";"0,007";"0,007";
"10/01/2021";"0,007";"0,015";"0,028";"0,027";"0,026";"0,007";"0,006";"0,005";"0,004";"0,004";"0,004";"0,004";"0,004";"0,004";"0,004";"0,034";"0,046";"0,044";"0,024";"0,018";"0,004";"0,004";"0,003";"0,004";"0,004";"0,004";"0,003";"0,004";"0,004";"0,003";"0,007";"0,035";"0,05";"0,05";"0,023";"0,003";"0,004";"0,003";"0,004";"0,004";"0,003";"0,004";"0,004";"0,003";"0,004";"0,017";"0,054";"0,048";"0,051";"0,036";"0,029";"0,031";"0,033";"0,03";"0,03";"0,029";"0,032";"0,034";"0,031";"0,047";"0,05";"0,055";"0,125";"0,04";"0,042";"0,034";"0,035";"0,036";"0,036";"0,038";"0,04";"0,064";"0,239";"0,431";"0,29";"0,222";"0,196";"0,242";"0,074";"0,004";"0,004";"0,004";"0,012";"0,025";"0,024";"0,024";"0,007";"0,004";"0,004";"0,004";"0,004";"0,004";"0,005";"0,004";"0,004";"0,014";
