Giorno;00:00-00:15;00:15-00:30;00:30-00:45;00:45-01:00;01:00-01:15;01:15-01:30;01:30-01:45;01:45-02:00;02:00-02:15;02:15-02:30;02:30-02:45;02:45-03:00;03:00-03:15;03:15-03:30;03:30-03:45;03:45-04:00;04:00-04:15;04:15-04:30;04:30-04:45;04:45-05:00;05:00-05:15;05:15-05:30;05:30-05:45;05:45-06:00;06:00-06:15;06:15-06:30;06:30-06:45;06:45-07:00;07:00-07:15;07:15-07:30;07:30-07:45;07:45-08:00;08:00-08:15;08:15-08:30;08:30-08:45;08:45-09:00;09:00-09:15;09:15-09:30;09:30-09:45;09:45-10:00;10:00-10:15;10:15-10:30;10:30-10:45;10:45-11:00;11:00-11:15;11:15-11:30;11:30-11:45;11:45-12:00;12:00-12:15;12:15-12:30;12:30-12:45;12:45-13:00;13:00-13:15;13:15-13:30;13:30-13:45;13:45-14:00;14:00-14:15;14:15-14:30;14:30-14:45;14:45-15:00;15:00-15:15;15:15-15:30;15:30-15:45;15:45-16:00;16:00-16:15;16:15-16:30;16:30-16:45;16:45-17:00;17:00-17:15;17:15-17:30;17:30-17:45;17:45-18:00;18:00-18:15;18:15-18:30;18:30-18:45;18:45-19:00;19:00-19:15;19:15-19:30;19:30-19:45;19:45-20:00;20:00-20:15;20:15-20:30;20:30-20:45;20:45-21:00;21:00-21:15;21:15-21:30;21:30-21:45;21:45-22:00;22:00-22:15;22:15-22:30;22:30-22:45;22:45-23:00;23:00-23:15;23:15-23:30;23:30-23:45;23:45-00:00;
"01/11/2021";"0,059";"0,033";"0,013";"0,016";"0,006";"0,005";"0,017";"0,004";"0,004";"0,013";"0,007";"0,004";"0,008";"0,012";"0,003";"0,004";"0,016";"0,003";"0,004";"0,012";"0,008";"0,004";"0,006";"0,013";"0,004";"0,003";"0,016";"0,005";"0,004";"0,009";"0,011";"0,003";"0,004";"0,016";"0,004";"0,003";"0,013";"0,007";"0,003";"0,008";"0,014";"0,005";"0,031";"0,056";"0,044";"0,044";"0,056";"0,03";"0,031";"0,372";"0,123";"0,165";"0,283";"0,035";"0,043";"0,042";"0,041";"0,521";"0,238";"0,291";"0,334";"0,237";"0,038";"0,039";"0,046";"0,035";"0,047";"0,164";"0,04";"0,045";"0,034";"0,041";"0,044";"0,538";"0,414";"0,08";"0,103";"0,208";"0,109";"0,071";"0,078";"0,052";"0,032";"0,017";"0,007";"0,014";"0,003";"0,011";"0,01";"0,003";"0,013";"0,008";"0,003";"0,015";"0,006";"0,005";
"02/11/2021";"0,032";"0,046";"0,274";"0,088";"0,23";"0,028";"0,038";"0,016";"0,012";"0,275";"0,255";"0,008";"0,016";"0,005";"0,006";"0,016";"0,004";"0,006";"0,016";"0,005";"0,004";"0,018";"0,004";"0,005";"0,017";"0,004";"0,005";"0,015";"0,007";"0,004";"0,013";"0,009";"0,006";"0,01";"0,01";"0,027";"0,037";"0,033";"0,012";"0,014";"0,012";"0,006";"0,012";"0,013";"0,004";"0,008";"0,013";"0,004";"0,006";"0,015";"0,004";"0,004";"0,016";"0,004";"0,005";"0,016";"0,005";"0,004";"0,015";"0,007";"0,006";"0,015";"0,004";"0,008";"0,012";"0,004";"0,016";"0,019";"0,012";"0,016";"0,02";"0,01";"0,01";"0,018";"0,009";"0,016";"0,023";"0,012";"0,016";"0,02";"0,011";"0,01";"0,011";"0,004";"0,009";"0,012";"0,004";"0,008";"0,013";"0,004";"0,006";"0,016";"0,004";"0,005";"0,016";"0,005";
"03/11/2021";"0,004";"0,014";"0,007";"0,004";"0,014";"0,019";"0,006";"0,012";"0,014";"0,007";"0,008";"0,014";"0,004";"0,005";"0,016";"0,004";"0,004";"0,016";"0,004";"0,003";"0,014";"0,006";"0,004";"0,01";"0,01";"0,004";"0,007";"0,014";"0,004";"0,003";"0,017";"0,003";"0,008";"0,014";"0,007";"0,005";"0,009";"0,01";"0,004";"0,004";"0,016";"0,003";"0,004";"0,015";"0,004";"0,004";"0,012";"0,008";"0,003";"0,021";"0,038";"0,027";"0,037";"0,029";"0,032";"0,035";"0,025";"0,037";"0,021";"0,005";"0,014";"0,004";"0,008";"0,011";"0,003";"0,011";"0,009";"0,003";"0,011";"0,009";"0,01";"0,024";"0,01";"0,007";"0,015";"0,01";"0,01";"0,022";"0,009";"0,009";"0,016";"0,007";"0,011";"0,014";"0,007";"0,012";"0,019";"0,007";"0,017";"0,021";"0,034";"0,043";"0,03";"0,028";"0,04";"0,03";
"04/11/2021";"0,034";"0,034";"0,025";"0,034";"0,028";"0,024";"0,037";"0,025";"0,026";"0,037";"0,025";"0,025";"0,036";"0,026";"0,025";"0,037";"0,025";"0,025";"0,037";"0,026";"0,024";"0,037";"0,025";"0,025";"0,036";"0,025";"0,025";"0,035";"0,026";"0,026";"0,033";"0,028";"0,025";"0,033";"0,028";"0,025";"0,359";"0,53";"0,171";"0,149";"0,046";"0,046";"0,134";"0,047";"0,131";"0,049";"0,04";"0,052";"0,012";"0,013";"0,018";"0,009";"0,022";"0,316";"0,174";"0,141";"0,327";"0,08";"0,008";"0,022";"0,011";"0,015";"0,017";"0,006";"0,014";"0,005";"0,004";"0,016";"0,003";"0,006";"0,013";"0,011";"0,046";"0,054";"0,048";"0,078";"0,061";"0,052";"0,058";"0,04";"0,031";"0,03";"0,025";"0,035";"0,027";"0,029";"0,043";"0,031";"0,033";"0,041";"0,032";"0,042";"0,032";"0,036";"0,036";"0,039";
"05/11/2021";"0,042";"0,03";"0,02";"0,015";"0,004";"0,003";"0,016";"0,003";"0,006";"0,014";"0,003";"0,005";"0,014";"0,004";"0,005";"0,014";"0,004";"0,003";"0,016";"0,004";"0,003";"0,016";"0,003";"0,004";"0,015";"0,003";"0,004";"0,016";"0,004";"0,003";"0,013";"0,007";"0,003";"0,011";"0,015";"0,354";"0,043";"0,02";"0,017";"0,026";"0,02";"0,021";"0,022";"0,068";"0,004";"0,01";"0,009";"0,003";"0,01";"0,009";"0,004";"0,043";"0,011";"0,004";"0,005";"0,014";"0,004";"0,003";"0,016";"0,004";"0,003";"0,012";"0,008";"0,004";"0,006";"0,013";"0,004";"0,003";"0,015";"0,005";"0,013";"0,019";"0,011";"0,003";"0,004";"0,016";"0,004";"0,003";"0,009";"0,012";"0,003";"0,004";"0,013";"0,008";"0,004";"0,003";"0,016";"0,004";"0,004";"0,003";"0,018";"0,004";"0,003";"0,004";"0,018";"0,003";
"06/11/2021";"0,004";"0,004";"0,016";"0,005";"0,003";"0,004";"0,015";"0,006";"0,003";"0,004";"0,014";"0,007";"0,004";"0,003";"0,013";"0,008";"0,004";"0,004";"0,01";"0,011";"0,004";"0,003";"0,007";"0,014";"0,004";"0,003";"0,005";"0,017";"0,003";"0,004";"0,004";"0,015";"0,006";"0,003";"0,004";"0,011";"0,011";"0,003";"0,004";"0,006";"0,014";"0,004";"0,003";"0,005";"0,016";"0,004";"0,003";"0,006";"0,015";"0,003";"0,004";"0,017";"0,019";"0,012";"0,013";"0,014";"0,007";"0,005";"0,014";"0,004";"0,004";"0,015";"0,005";"0,004";"0,007";"0,012";"0,003";"0,004";"0,016";"0,02";"0,032";"0,341";"0,337";"0,221";"0,261";"0,198";"0,093";"0,089";"0,082";"0,07";"0,073";"0,046";"0,04";"0,042";"0,03";"0,029";"0,043";"0,359";"0,1";"0,336";"0,269";"0,047";"0,03";"0,037";"0,034";"0,03";
"07/11/2021";"0,045";"0,034";"0,033";"0,043";"0,031";"0,034";"0,022";"0,009";"0,011";"0,009";"0,005";"0,015";"0,007";"0,005";"0,015";"0,006";"0,005";"0,014";"0,008";"0,004";"0,012";"0,009";"0,005";"0,009";"0,013";"0,004";"0,006";"0,016";"0,004";"0,005";"0,02";"0,004";"0,35";"0,063";"0,045";"0,374";"0,009";"0,006";"0,015";"0,007";"0,006";"0,016";"0,006";"0,007";"0,019";"0,009";"0,004";"0,017";"0,009";"0,004";"0,016";"0,005";"0,005";"0,015";"0,006";"0,004";"0,014";"0,007";"0,005";"0,011";"0,01";"0,005";"0,007";"0,014";"0,005";"0,004";"0,016";"0,005";"0,004";"0,015";"0,007";"0,005";"0,009";"0,02";"0,011";"0,033";"0,044";"0,032";"0,034";"0,045";"0,032";"0,04";"0,044";"0,034";"0,048";"0,033";"0,033";"0,044";"0,033";"0,032";"0,022";"0,007";"0,005";"0,017";"0,005";"0,004";
"08/11/2021";"0,017";"0,004";"0,003";"0,017";"0,003";"0,004";"0,016";"0,004";"0,004";"0,013";"0,007";"0,004";"0,011";"0,009";"0,004";"0,005";"0,014";"0,004";"0,004";"0,016";"0,004";"0,004";"0,011";"0,01";"0,003";"0,005";"0,016";"0,004";"0,022";"0,038";"0,008";"0,003";"0,008";"0,012";"0,004";"0,003";"0,017";"0,003";"0,004";"0,011";"0,009";"0,004";"0,005";"0,014";"0,004";"0,004";"0,014";"0,006";"0,003";"0,009";"0,011";"0,004";"0,003";"0,017";"0,003";"0,004";"0,012";"0,008";"0,004";"0,005";"0,015";"0,004";"0,003";"0,013";"0,007";"0,004";"0,005";"0,015";"0,003";"0,004";"0,013";"0,007";"0,006";"0,021";"0,017";"0,009";"0,014";"0,018";"0,041";"0,049";"0,039";"0,035";"0,043";"0,036";"0,037";"0,047";"0,039";"0,039";"0,043";"0,03";"0,023";"0,027";"0,02";"0,014";"0,018";"0,016";
"09/11/2021";"0,011";"0,022";"0,013";"0,007";"0,015";"0,012";"0,008";"0,01";"0,012";"0,003";"0,004";"0,017";"0,004";"0,003";"0,011";"0,01";"0,004";"0,003";"0,016";"0,004";"0,004";"0,012";"0,008";"0,004";"0,003";"0,018";"0,004";"0,003";"0,009";"0,011";"0,004";"0,004";"0,013";"0,008";"0,004";"0,004";"0,022";"0,022";"0,022";"0,027";"0,037";"0,05";"0,056";"0,07";"0,389";"0,211";"0,126";"0,078";"0,075";"0,069";"0,054";"0,386";"0,315";"0,106";"0,06";"0,049";"0,051";"0,05";"0,044";"0,055";"0,045";"0,044";"0,054";"0,034";"0,036";"0,034";"0,028";"0,039";"0,033";"0,042";"0,047";"0,264";"0,187";"0,202";"0,322";"0,093";"0,209";"0,503";"0,327";"0,356";"0,294";"0,294";"0,085";"0,037";"0,04";"0,036";"0,044";"0,039";"0,036";"0,051";"0,131";"0,315";"0,055";"0,044";"0,043";"0,05";
"10/11/2021";"0,04";"0,014";"0,02";"0,009";"0,01";"0,019";"0,008";"0,008";"0,019";"0,006";"0,01";"0,01";"0,004";"0,01";"0,01";"0,003";"0,009";"0,011";"0,004";"0,006";"0,013";"0,004";"0,004";"0,015";"0,004";"0,004";"0,016";"0,004";"0,004";"0,011";"0,009";"0,003";"0,006";"0,014";"0,004";"0,019";"0,017";"0,004";"0,004";"0,01";"0,009";"0,004";"0,006";"0,014";"0,003";"0,004";"0,016";"0,004";"0,003";"0,011";"0,009";"0,004";"0,004";"0,016";"0,004";"0,003";"0,013";"0,007";"0,003";"0,007";"0,013";"0,004";"0,004";"0,015";"0,005";"0,004";"0,008";"0,012";"0,003";"0,004";"0,016";"0,004";"0,004";"0,009";"0,016";"0,009";"0,011";"0,022";"0,01";"0,016";"0,021";"0,051";"0,043";"0,038";"0,031";"0,033";"0,041";"0,034";"0,039";"0,039";"0,034";"0,038";"0,04";"0,033";"0,038";"0,041";
