Giorno;00:00-00:15;00:15-00:30;00:30-00:45;00:45-01:00;01:00-01:15;01:15-01:30;01:30-01:45;01:45-02:00;02:00-02:15;02:15-02:30;02:30-02:45;02:45-03:00;03:00-03:15;03:15-03:30;03:30-03:45;03:45-04:00;04:00-04:15;04:15-04:30;04:30-04:45;04:45-05:00;05:00-05:15;05:15-05:30;05:30-05:45;05:45-06:00;06:00-06:15;06:15-06:30;06:30-06:45;06:45-07:00;07:00-07:15;07:15-07:30;07:30-07:45;07:45-08:00;08:00-08:15;08:15-08:30;08:30-08:45;08:45-09:00;09:00-09:15;09:15-09:30;09:30-09:45;09:45-10:00;10:00-10:15;10:15-10:30;10:30-10:45;10:45-11:00;11:00-11:15;11:15-11:30;11:30-11:45;11:45-12:00;12:00-12:15;12:15-12:30;12:30-12:45;12:45-13:00;13:00-13:15;13:15-13:30;13:30-13:45;13:45-14:00;14:00-14:15;14:15-14:30;14:30-14:45;14:45-15:00;15:00-15:15;15:15-15:30;15:30-15:45;15:45-16:00;16:00-16:15;16:15-16:30;16:30-16:45;16:45-17:00;17:00-17:15;17:15-17:30;17:30-17:45;17:45-18:00;18:00-18:15;18:15-18:30;18:30-18:45;18:45-19:00;19:00-19:15;19:15-19:30;19:30-19:45;19:45-20:00;20:00-20:15;20:15-20:30;20:30-20:45;20:45-21:00;21:00-21:15;21:15-21:30;21:30-21:45;21:45-22:00;22:00-22:15;22:15-22:30;22:30-22:45;22:45-23:00;23:00-23:15;23:15-23:30;23:30-23:45;23:45-00:00;
"01/10/2021";"0,015";"0,027";"0,044";"0,346";"0,029";"0,147";"0,19";"0,026";"0,018";"0,184";"0,34";"0,019";"0,007";"0,016";"0,007";"0,011";"0,01";"0,007";"0,014";"0,004";"0,016";"0,005";"0,011";"0,009";"0,005";"0,015";"0,005";"0,015";"0,005";"0,009";"0,011";"0,004";"0,016";"0,004";"0,163";"0,287";"0,073";"0,08";"0,025";"0,058";"0,054";"0,031";"0,019";"0,023";"0,021";"0,023";"0,025";"0,023";"0,026";"0,018";"0,03";"0,02";"0,031";"0,022";"0,025";"0,02";"0,02";"0,026";"0,018";"0,03";"0,016";"0,029";"0,017";"0,029";"0,017";"0,028";"0,016";"0,022";"0,003";"0,015";"0,004";"0,015";"0,004";"0,011";"0,007";"0,007";"0,013";"0,007";"0,02";"0,01";"0,021";"0,01";"0,018";"0,012";"0,013";"0,018";"0,01";"0,025";"0,015";"0,025";"0,013";"0,025";"0,011";"0,021";"0,01";"0,015";
"02/10/2021";"0,016";"0,01";"0,021";"0,009";"0,03";"0,021";"0,026";"0,018";"0,012";"0,024";"0,012";"0,021";"0,009";"0,008";"0,023";"0,017";"0,021";"0,016";"0,018";"0,006";"0,016";"0,005";"0,014";"0,006";"0,006";"0,013";"0,004";"0,014";"0,005";"0,007";"0,013";"0,003";"0,014";"0,005";"0,005";"0,014";"0,004";"0,013";"0,006";"0,004";"0,015";"0,004";"0,012";"0,006";"0,005";"0,014";"0,004";"0,014";"0,005";"0,007";"0,012";"0,008";"0,013";"0,009";"0,012";"0,01";"0,01";"0,007";"0,012";"0,005";"0,014";"0,004";"0,022";"0,049";"0,018";"0,004";"0,021";"0,011";"0,371";"0,011";"0,031";"0,014";"0,026";"0,036";"0,397";"0,005";"0,018";"0,06";"0,023";"0,016";"0,015";"0,007";"0,01";"0,009";"0,007";"0,012";"0,004";"0,015";"0,004";"0,015";"0,004";"0,012";"0,008";"0,006";"0,016";"0,011";
"03/10/2021";"0,022";"0,01";"0,021";"0,011";"0,017";"0,015";"0,013";"0,019";"0,01";"0,02";"0,008";"0,012";"0,009";"0,004";"0,016";"0,004";"0,014";"0,005";"0,007";"0,013";"0,004";"0,015";"0,004";"0,008";"0,011";"0,004";"0,015";"0,005";"0,006";"0,013";"0,004";"0,014";"0,005";"0,007";"0,012";"0,004";"0,015";"0,004";"0,008";"0,011";"0,003";"0,015";"0,004";"0,009";"0,014";"0,011";"0,028";"0,024";"0,091";"0,053";"0,027";"0,036";"0,046";"0,049";"0,152";"0,159";"0,092";"0,215";"0,261";"0,048";"0,022";"0,028";"0,024";"0,031";"0,038";"0,027";"0,025";"0,036";"0,026";"0,03";"0,345";"0,386";"0,308";"0,332";"0,246";"0,269";"0,213";"0,037";"0,027";"0,165";"0,28";"0,34";"0,093";"0,3";"0,073";"0,069";"0,352";"0,046";"0,026";"0,037";"0,023";"0,032";"0,021";"0,027";"0,024";"0,025";
"04/10/2021";"0,014";"0,009";"0,019";"0,007";"0,019";"0,006";"0,015";"0,007";"0,01";"0,011";"0,004";"0,017";"0,004";"0,016";"0,005";"0,01";"0,011";"0,004";"0,016";"0,005";"0,014";"0,006";"0,008";"0,013";"0,005";"0,02";"0,009";"0,013";"0,01";"0,004";"0,015";"0,004";"0,014";"0,005";"0,007";"0,012";"0,007";"0,038";"0,028";"0,032";"0,019";"0,026";"0,022";"0,024";"0,029";"0,018";"0,03";"0,02";"0,027";"0,023";"0,02";"0,03";"0,02";"0,03";"0,02";"0,032";"0,021";"0,03";"0,024";"0,097";"0,276";"0,087";"0,141";"0,155";"0,047";"0,033";"0,26";"0,254";"0,035";"0,029";"0,035";"0,028";"0,03";"0,032";"0,025";"0,036";"0,026";"0,037";"0,028";"0,034";"0,05";"0,042";"0,059";"0,047";"0,059";"0,048";"0,04";"0,025";"0,036";"0,011";"0,016";"0,01";"0,01";"0,015";"0,008";"0,018";
"05/10/2021";"0,009";"0,017";"0,01";"0,008";"0,014";"0,003";"0,014";"0,006";"0,005";"0,014";"0,004";"0,013";"0,006";"0,006";"0,012";"0,004";"0,015";"0,004";"0,008";"0,011";"0,003";"0,016";"0,004";"0,006";"0,013";"0,003";"0,015";"0,004";"0,006";"0,014";"0,003";"0,013";"0,006";"0,005";"0,014";"0,004";"0,02";"0,028";"0,051";"0,031";"0,039";"0,033";"0,041";"0,032";"0,039";"0,029";"0,032";"0,026";"0,029";"0,025";"0,036";"0,027";"0,016";"0,011";"0,006";"0,013";"0,004";"0,015";"0,004";"0,015";"0,005";"0,009";"0,01";"0,004";"0,015";"0,004";"0,015";"0,004";"0,01";"0,023";"0,023";"0,022";"0,022";"0,022";"0,019";"0,025";"0,016";"0,028";"0,016";"0,028";"0,029";"0,025";"0,039";"0,029";"0,039";"0,04";"0,052";"0,033";"0,038";"0,04";"0,305";"0,115";"0,054";"0,338";"0,031";"0,041";
"06/10/2021";"0,009";"0,012";"0,014";"0,008";"0,018";"0,006";"0,014";"0,008";"0,007";"0,014";"0,004";"0,016";"0,005";"0,009";"0,012";"0,005";"0,016";"0,004";"0,009";"0,012";"0,005";"0,016";"0,005";"0,007";"0,013";"0,005";"0,014";"0,007";"0,005";"0,016";"0,004";"0,012";"0,009";"0,009";"0,012";"0,012";"0,021";"0,023";"0,027";"0,017";"0,031";"0,018";"0,027";"0,019";"0,02";"0,027";"0,017";"0,028";"0,018";"0,019";"0,25";"0,203";"0,042";"0,032";"0,027";"0,029";"0,017";"0,028";"0,017";"0,029";"0,017";"0,027";"0,02";"0,025";"0,028";"0,02";"0,032";"0,019";"0,026";"0,028";"0,02";"0,033";"0,02";"0,024";"0,027";"0,02";"0,029";"0,023";"0,021";"0,037";"0,022";"0,029";"0,028";"0,027";"0,021";"0,004";"0,009";"0,013";"0,008";"0,017";"0,01";"0,021";"0,01";"0,021";"0,01";"0,016";
"07/10/2021";"0,01";"0,011";"0,014";"0,007";"0,018";"0,007";"0,016";"0,007";"0,009";"0,011";"0,004";"0,016";"0,004";"0,011";"0,009";"0,004";"0,015";"0,004";"0,011";"0,009";"0,004";"0,015";"0,004";"0,008";"0,012";"0,004";"0,015";"0,004";"0,007";"0,012";"0,004";"0,014";"0,006";"0,003";"0,022";"0,012";"0,029";"0,022";"0,024";"0,022";"0,019";"0,027";"0,016";"0,026";"0,018";"0,022";"0,027";"0,019";"0,031";"0,019";"0,024";"0,023";"0,017";"0,027";"0,017";"0,025";"0,021";"0,02";"0,025";"0,019";"0,029";"0,019";"0,027";"0,021";"0,02";"0,027";"0,019";"0,028";"0,019";"0,027";"0,019";"0,023";"0,025";"0,027";"0,033";"0,023";"0,035";"0,016";"0,018";"0,007";"0,005";"0,014";"0,003";"0,014";"0,005";"0,006";"0,013";"0,003";"0,014";"0,005";"0,005";"0,014";"0,004";"0,013";"0,017";"0,015";
"08/10/2021";"0,021";"0,01";"0,02";"0,011";"0,013";"0,02";"0,009";"0,017";"0,009";"0,008";"0,019";"0,006";"0,011";"0,011";"0,003";"0,015";"0,004";"0,01";"0,009";"0,004";"0,015";"0,004";"0,008";"0,01";"0,004";"0,015";"0,004";"0,006";"0,012";"0,004";"0,015";"0,006";"0,005";"0,014";"0,003";"0,011";"0,008";"0,004";"0,015";"0,004";"0,006";"0,013";"0,004";"0,018";"0,028";"0,024";"0,033";"0,021";"0,03";"0,032";"0,023";"0,034";"0,022";"0,025";"0,024";"0,019";"0,027";"0,017";"0,021";"0,022";"0,017";"0,028";"0,016";"0,02";"0,016";"0,003";"0,015";"0,004";"0,004";"0,015";"0,004";"0,011";"0,008";"0,003";"0,016";"0,003";"0,009";"0,01";"0,004";"0,014";"0,013";"0,013";"0,023";"0,01";"0,013";"0,018";"0,291";"0,033";"0,086";"0,33";"0,037";"0,013";"0,018";"0,01";"0,018";"0,013";
"09/10/2021";"0,01";"0,021";"0,01";"0,01";"0,021";"0,01";"0,015";"0,014";"0,007";"0,017";"0,009";"0,016";"0,024";"0,013";"0,019";"0,016";"0,012";"0,022";"0,004";"0,007";"0,012";"0,004";"0,011";"0,009";"0,003";"0,015";"0,005";"0,003";"0,016";"0,003";"0,01";"0,01";"0,004";"0,013";"0,006";"0,003";"0,015";"0,004";"0,008";"0,011";"0,003";"0,014";"0,005";"0,004";"0,015";"0,004";"0,008";"0,01";"0,004";"0,014";"0,007";"0,024";"0,034";"0,025";"0,037";"0,025";"0,031";"0,029";"0,026";"0,034";"0,021";"0,025";"0,026";"0,02";"0,031";"0,02";"0,019";"0,03";"0,018";"0,027";"0,014";"0,004";"0,018";"0,007";"0,014";"0,011";"0,008";"0,025";"0,015";"0,016";"0,019";"0,009";"0,015";"0,016";"0,048";"0,059";"0,032";"0,026";"0,021";"0,012";"0,023";"0,012";"0,015";"0,016";"0,008";"0,02";
"10/10/2021";"0,01";"0,009";"0,015";"0,007";"0,013";"0,011";"0,004";"0,015";"0,006";"0,004";"0,016";"0,004";"0,004";"0,016";"0,004";"0,007";"0,011";"0,004";"0,012";"0,008";"0,004";"0,013";"0,007";"0,004";"0,014";"0,005";"0,004";"0,016";"0,004";"0,004";"0,016";"0,003";"0,004";"0,016";"0,004";"0,004";"0,015";"0,004";"0,005";"0,014";"0,004";"0,007";"0,012";"0,004";"0,015";"0,009";"0,008";"0,013";"0,288";"0,028";"0,099";"0,393";"0,017";"0,016";"0,005";"0,012";"0,008";"0,008";"0,012";"0,005";"0,015";"0,004";"0,016";"0,005";"0,011";"0,01";"0,006";"0,014";"0,004";"0,017";"0,004";"0,014";"0,223";"0,332";"0,082";"0,158";"0,028";"0,032";"0,037";"0,026";"0,058";"0,045";"0,051";"0,046";"0,046";"0,052";"0,048";"0,05";"0,035";"0,032";"0,024";"0,028";"0,026";"0,024";"0,03";"0,022";
