Giorno;00:00-00:15;00:15-00:30;00:30-00:45;00:45-01:00;01:00-01:15;01:15-01:30;01:30-01:45;01:45-02:00;02:00-02:15;02:15-02:30;02:30-02:45;02:45-03:00;03:00-03:15;03:15-03:30;03:30-03:45;03:45-04:00;04:00-04:15;04:15-04:30;04:30-04:45;04:45-05:00;05:00-05:15;05:15-05:30;05:30-05:45;05:45-06:00;06:00-06:15;06:15-06:30;06:30-06:45;06:45-07:00;07:00-07:15;07:15-07:30;07:30-07:45;07:45-08:00;08:00-08:15;08:15-08:30;08:30-08:45;08:45-09:00;09:00-09:15;09:15-09:30;09:30-09:45;09:45-10:00;10:00-10:15;10:15-10:30;10:30-10:45;10:45-11:00;11:00-11:15;11:15-11:30;11:30-11:45;11:45-12:00;12:00-12:15;12:15-12:30;12:30-12:45;12:45-13:00;13:00-13:15;13:15-13:30;13:30-13:45;13:45-14:00;14:00-14:15;14:15-14:30;14:30-14:45;14:45-15:00;15:00-15:15;15:15-15:30;15:30-15:45;15:45-16:00;16:00-16:15;16:15-16:30;16:30-16:45;16:45-17:00;17:00-17:15;17:15-17:30;17:30-17:45;17:45-18:00;18:00-18:15;18:15-18:30;18:30-18:45;18:45-19:00;19:00-19:15;19:15-19:30;19:30-19:45;19:45-20:00;20:00-20:15;20:15-20:30;20:30-20:45;20:45-21:00;21:00-21:15;21:15-21:30;21:30-21:45;21:45-22:00;22:00-22:15;22:15-22:30;22:30-22:45;22:45-23:00;23:00-23:15;23:15-23:30;23:30-23:45;23:45-00:00;
"01/02/2022";"0,008";"0,015";"0,013";"0,011";"0,017";"0,038";"0,034";"0,024";"0,004";"0,004";"0,015";"0,004";"0,003";"0,015";"0,004";"0,005";"0,014";"0,004";"0,005";"0,014";"0,003";"0,005";"0,014";"0,004";"0,005";"0,014";"0,004";"0,003";"0,016";"0,004";"0,003";"0,016";"0,004";"0,003";"0,015";"0,005";"0,003";"0,018";"0,004";"0,003";"0,012";"0,008";"0,007";"0,014";"0,007";"0,004";"0,015";"0,004";"0,174";"0,324";"0,019";"0,035";"0,023";"0,042";"0,014";"0,005";"0,015";"0,003";"0,012";"0,007";"0,004";"0,014";"0,004";"0,011";"0,008";"0,004";"0,015";"0,004";"0,006";"0,013";"0,003";"0,011";"0,008";"0,004";"0,015";"0,004";"0,004";"0,019";"0,007";"0,013";"0,028";"0,037";"0,043";"0,043";"0,038";"0,05";"0,036";"0,191";"0,404";"0,321";"0,352";"0,23";"0,233";"0,23";"0,018";"0,019";
"02/02/2022";"0,016";"0,012";"0,033";"0,02";"0,043";"0,046";"0,008";"0,01";"0,016";"0,006";"0,011";"0,014";"0,004";"0,008";"0,011";"0,004";"0,008";"0,011";"0,003";"0,009";"0,011";"0,003";"0,007";"0,013";"0,003";"0,005";"0,015";"0,003";"0,004";"0,015";"0,003";"0,004";"0,016";"0,003";"0,004";"0,014";"0,005";"0,004";"0,011";"0,008";"0,003";"0,009";"0,016";"0,01";"0,021";"0,378";"0,02";"0,023";"0,024";"0,034";"0,033";"0,026";"0,018";"0,068";"0,013";"0,004";"0,012";"0,008";"0,004";"0,011";"0,01";"0,003";"0,008";"0,012";"0,004";"0,005";"0,014";"0,004";"0,003";"0,017";"0,003";"0,004";"0,013";"0,007";"0,004";"0,007";"0,013";"0,004";"0,003";"0,037";"0,013";"0,01";"0,446";"0,052";"0,009";"0,008";"0,011";"0,02";"0,029";"0,031";"0,042";"0,03";"0,022";"0,019";"0,026";"0,017";
"03/02/2022";"0,012";"0,019";"0,006";"0,005";"0,006";"0,014";"0,004";"0,003";"0,013";"0,008";"0,003";"0,005";"0,016";"0,003";"0,004";"0,012";"0,008";"0,004";"0,004";"0,017";"0,004";"0,003";"0,007";"0,014";"0,004";"0,003";"0,012";"0,008";"0,004";"0,004";"0,016";"0,004";"0,004";"0,007";"0,014";"0,004";"0,005";"0,02";"0,015";"0,047";"0,271";"0,119";"0,217";"0,224";"0,267";"0,011";"0,01";"0,021";"0,012";"0,033";"0,014";"0,014";"0,006";"0,007";"0,029";"0,006";"0,005";"0,014";"0,008";"0,005";"0,009";"0,014";"0,005";"0,005";"0,02";"0,022";"0,074";"0,398";"0,508";"0,223";"0,118";"0,096";"0,053";"0,108";"0,184";"0,027";"0,024";"0,025";"0,042";"0,034";"0,011";"0,017";"0,019";"0,01";"0,007";"0,017";"0,011";"0,027";"0,042";"0,046";"0,048";"0,051";"0,051";"0,04";"0,041";"0,047";
"04/02/2022";"0,046";"0,079";"0,06";"0,055";"0,063";"0,058";"0,056";"0,065";"0,053";"0,052";"0,064";"0,04";"0,026";"0,036";"0,026";"0,028";"0,064";"0,054";"0,029";"0,035";"0,025";"0,029";"0,034";"0,017";"0,011";"0,009";"0,004";"0,01";"0,009";"0,004";"0,01";"0,01";"0,004";"0,008";"0,011";"0,005";"0,009";"0,011";"0,004";"0,007";"0,013";"0,004";"0,004";"0,015";"0,004";"0,008";"0,016";"0,004";"0,004";"0,014";"0,006";"0,008";"0,012";"0,004";"0,014";"0,009";"0,004";"0,016";"0,004";"0,004";"0,016";"0,004";"0,004";"0,014";"0,004";"0,006";"0,014";"0,004";"0,004";"0,016";"0,004";"0,003";"0,016";"0,004";"0,004";"0,037";"0,022";"0,016";"0,052";"0,037";"0,017";"0,033";"0,848";"0,309";"0,343";"0,027";"0,037";"0,027";"0,023";"0,324";"0,321";"0,077";"0,03";"0,017";"0,021";"0,022";
"05/02/2022";"0,012";"0,017";"0,02";"0,011";"0,02";"0,016";"0,012";"0,021";"0,005";"0,004";"0,014";"0,006";"0,004";"0,013";"0,007";"0,004";"0,01";"0,01";"0,004";"0,006";"0,014";"0,004";"0,004";"0,016";"0,005";"0,004";"0,01";"0,01";"0,004";"0,006";"0,014";"0,004";"0,004";"0,015";"0,006";"0,003";"0,009";"0,012";"0,003";"0,004";"0,016";"0,004";"0,004";"0,013";"0,007";"0,006";"0,016";"0,065";"0,116";"0,035";"0,014";"0,016";"0,015";"0,01";"0,02";"0,015";"0,011";"0,021";"0,011";"0,012";"0,022";"0,008";"0,014";"0,012";"0,007";"0,014";"0,035";"0,035";"0,043";"0,037";"0,035";"0,049";"0,042";"0,049";"0,058";"0,05";"0,048";"0,061";"0,027";"0,028";"0,103";"0,281";"0,205";"0,025";"0,015";"0,016";"0,022";"0,075";"0,378";"0,219";"0,005";"0,005";"0,017";"0,009";"0,011";"0,021";
"06/02/2022";"0,012";"0,008";"0,016";"0,012";"0,007";"0,012";"0,016";"0,007";"0,008";"0,019";"0,008";"0,01";"0,021";"0,008";"0,009";"0,019";"0,015";"0,012";"0,016";"0,021";"0,009";"0,009";"0,019";"0,009";"0,005";"0,006";"0,017";"0,003";"0,004";"0,005";"0,017";"0,003";"0,004";"0,003";"0,017";"0,005";"0,004";"0,003";"0,012";"0,011";"0,004";"0,003";"0,007";"0,015";"0,004";"0,003";"0,004";"0,017";"0,005";"0,004";"0,003";"0,015";"0,007";"0,003";"0,004";"0,012";"0,01";"0,004";"0,006";"0,015";"0,026";"0,103";"0,491";"0,097";"0,04";"0,037";"0,05";"0,064";"0,052";"0,055";"0,063";"0,053";"0,053";"0,065";"0,589";"0,433";"0,098";"0,024";"0,043";"0,042";"0,039";"0,029";"0,012";"0,017";"0,04";"0,041";"0,029";"0,017";"0,009";"0,021";"0,014";"0,009";"0,038";"0,042";"0,017";"0,025";
"07/02/2022";"0,017";"0,02";"0,037";"0,027";"0,027";"0,04";"0,044";"0,033";"0,014";"0,005";"0,014";"0,006";"0,005";"0,013";"0,006";"0,02";"0,043";"0,016";"0,004";"0,014";"0,005";"0,004";"0,013";"0,007";"0,003";"0,012";"0,03";"0,032";"0,021";"0,007";"0,004";"0,011";"0,009";"0,003";"0,012";"0,01";"0,004";"0,013";"0,039";"0,014";"0,009";"0,01";"0,003";"0,012";"0,01";"0,008";"0,015";"0,003";"0,004";"0,015";"0,004";"0,007";"0,013";"0,004";"0,016";"0,006";"0,004";"0,015";"0,004";"0,008";"0,011";"0,004";"0,011";"0,008";"0,003";"0,014";"0,006";"0,003";"0,015";"0,004";"0,004";"0,016";"0,003";"0,004";"0,016";"0,003";"0,004";"0,016";"0,025";"0,039";"0,372";"0,07";"0,232";"0,337";"0,184";"0,041";"0,014";"0,018";"0,016";"0,01";"0,031";"0,04";"0,032";"0,021";"0,014";"0,021";
"08/02/2022";"0,018";"0,012";"0,022";"0,013";"0,011";"0,022";"0,01";"0,009";"0,021";"0,008";"0,009";"0,02";"0,008";"0,01";"0,019";"0,009";"0,008";"0,016";"0,005";"0,004";"0,017";"0,005";"0,005";"0,017";"0,004";"0,008";"0,014";"0,007";"0,004";"0,011";"0,009";"0,004";"0,007";"0,013";"0,005";"0,004";"0,016";"0,004";"0,004";"0,013";"0,008";"0,004";"0,008";"0,012";"0,004";"0,006";"0,014";"0,004";"0,006";"0,025";"0,012";"0,013";"0,016";"0,008";"0,011";"0,009";"0,004";"0,01";"0,01";"0,004";"0,009";"0,01";"0,004";"0,007";"0,013";"0,004";"0,004";"0,017";"0,003";"0,004";"0,016";"0,004";"0,004";"0,013";"0,007";"0,01";"0,019";"0,018";"0,012";"0,019";"0,017";"0,013";"0,009";"0,019";"0,007";"0,007";"0,018";"0,009";"0,015";"0,026";"0,049";"0,041";"0,037";"0,05";"0,037";"0,037";
"09/02/2022";"0,046";"0,044";"0,041";"0,019";"0,008";"0,009";"0,023";"0,016";"0,017";"0,019";"0,005";"0,008";"0,012";"0,004";"0,007";"0,012";"0,004";"0,008";"0,012";"0,004";"0,006";"0,014";"0,004";"0,004";"0,016";"0,004";"0,004";"0,016";"0,005";"0,003";"0,012";"0,009";"0,004";"0,007";"0,014";"0,004";"0,004";"0,016";"0,004";"0,004";"0,013";"0,012";"0,349";"0,14";"0,079";"0,02";"0,024";"0,168";"0,386";"0,124";"0,053";"0,061";"0,019";"0,024";"0,013";"0,019";"0,004";"0,01";"0,01";"0,004";"0,011";"0,008";"0,004";"0,012";"0,008";"0,004";"0,01";"0,009";"0,004";"0,008";"0,011";"0,004";"0,006";"0,015";"0,004";"0,003";"0,017";"0,004";"0,004";"0,021";"0,013";"0,004";"0,009";"0,012";"0,004";"0,011";"0,023";"0,028";"0,036";"0,024";"0,014";"0,012";"0,019";"0,018";"0,013";"0,012";
"10/02/2022";"0,026";"0,012";"0,012";"0,022";"0,016";"0,009";"0,022";"0,016";"0,011";"0,014";"0,019";"0,008";"0,005";"0,016";"0,005";"0,004";"0,009";"0,012";"0,004";"0,004";"0,017";"0,004";"0,004";"0,009";"0,01";"0,005";"0,003";"0,018";"0,003";"0,004";"0,009";"0,012";"0,004";"0,004";"0,016";"0,004";"0,004";"0,009";"0,012";"0,004";"0,003";"0,016";"0,007";"0,007";"0,013";"0,013";"0,007";"0,038";"0,044";"0,032";"0,04";"0,044";"0,035";"0,055";"0,047";"0,051";"0,043";"0,011";"0,017";"0,005";"0,008";"0,014";"0,005";"0,012";"0,01";"0,005";"0,015";"0,007";"0,005";"0,017";"0,005";"0,005";"0,025";"0,011";"0,011";"0,023";"0,011";"0,014";"0,026";"0,011";"0,011";"0,023";"0,013";"0,011";"0,023";"0,013";"0,008";"0,02";"0,009";"0,01";"0,021";"0,008";"0,008";"0,023";"0,047";"0,049";
