Giorno;00:00-00:15;00:15-00:30;00:30-00:45;00:45-01:00;01:00-01:15;01:15-01:30;01:30-01:45;01:45-02:00;02:00-02:15;02:15-02:30;02:30-02:45;02:45-03:00;03:00-03:15;03:15-03:30;03:30-03:45;03:45-04:00;04:00-04:15;04:15-04:30;04:30-04:45;04:45-05:00;05:00-05:15;05:15-05:30;05:30-05:45;05:45-06:00;06:00-06:15;06:15-06:30;06:30-06:45;06:45-07:00;07:00-07:15;07:15-07:30;07:30-07:45;07:45-08:00;08:00-08:15;08:15-08:30;08:30-08:45;08:45-09:00;09:00-09:15;09:15-09:30;09:30-09:45;09:45-10:00;10:00-10:15;10:15-10:30;10:30-10:45;10:45-11:00;11:00-11:15;11:15-11:30;11:30-11:45;11:45-12:00;12:00-12:15;12:15-12:30;12:30-12:45;12:45-13:00;13:00-13:15;13:15-13:30;13:30-13:45;13:45-14:00;14:00-14:15;14:15-14:30;14:30-14:45;14:45-15:00;15:00-15:15;15:15-15:30;15:30-15:45;15:45-16:00;16:00-16:15;16:15-16:30;16:30-16:45;16:45-17:00;17:00-17:15;17:15-17:30;17:30-17:45;17:45-18:00;18:00-18:15;18:15-18:30;18:30-18:45;18:45-19:00;19:00-19:15;19:15-19:30;19:30-19:45;19:45-20:00;20:00-20:15;20:15-20:30;20:30-20:45;20:45-21:00;21:00-21:15;21:15-21:30;21:30-21:45;21:45-22:00;22:00-22:15;22:15-22:30;22:30-22:45;22:45-23:00;23:00-23:15;23:15-23:30;23:30-23:45;23:45-00:00
"01/01/2022";"0,029";"0,017";"0,025";"0,022";"0,016";"0,029";"0,029";"0,045";"0,052";"0,042";"0,049";"0,046";"0,023";"0,028";"0,017";"0,018";"0,028";"0,017";"0,033";"0,02";"0,023";"0,013";"0,004";"0,015";"0,003";"0,013";"0,007";"0,003";"0,015";"0,004";"0,01";"0,009";"0,004";"0,015";"0,004";"0,005";"0,014";"0,004";"0,008";"0,011";"0,004";"0,01";"0,009";"0,004";"0,015";"0,009";"0,004";"0,013";"0,007";"0,003";"0,015";"0,005";"0,003";"0,016";"0,004";"0,003";"0,016";"0,004";"0,004";"0,014";"0,006";"0,004";"0,011";"0,028";"0,032";"0,042";"0,039";"0,032";"0,042";"0,042";"0,037";"0,045";"0,048";"0,041";"0,043";"0,047";"0,04";"0,043";"0,047";"0,037";"0,042";"0,046";"0,038";"0,047";"0,03";"0,015";"0,022";"0,016";"0,013";"0,022";"0,014";"0,013";"0,02";"0,008";"0,008";"0,019";
"02/01/2022";"0,007";"0,008";"0,018";"0,009";"0,007";"0,02";"0,007";"0,006";"0,015";"0,007";"0,004";"0,012";"0,009";"0,003";"0,01";"0,011";"0,004";"0,005";"0,015";"0,004";"0,004";"0,015";"0,005";"0,004";"0,009";"0,011";"0,004";"0,004";"0,016";"0,004";"0,004";"0,013";"0,008";"0,003";"0,006";"0,015";"0,004";"0,004";"0,014";"0,006";"0,004";"0,006";"0,015";"0,003";"0,004";"0,028";"0,035";"0,03";"0,032";"0,039";"0,031";"0,032";"0,058";"0,051";"0,475";"0,174";"0,238";"0,067";"0,072";"0,066";"0,396";"0,414";"0,07";"0,063";"0,067";"0,055";"0,045";"0,049";"0,039";"0,05";"0,026";"0,009";"0,017";"0,006";"0,005";"0,016";"0,004";"0,005";"0,015";"0,004";"0,004";"0,017";"0,004";"0,003";"0,017";"0,004";"0,003";"0,016";"0,004";"0,003";"0,017";"0,004";"0,004";"0,016";"0,004";"0,004";
"03/01/2022";"0,015";"0,007";"0,038";"0,047";"0,036";"0,02";"0,023";"0,01";"0,01";"0,022";"0,004";"0,004";"0,016";"0,004";"0,004";"0,016";"0,004";"0,004";"0,013";"0,007";"0,004";"0,01";"0,01";"0,004";"0,007";"0,013";"0,003";"0,004";"0,017";"0,004";"0,004";"0,013";"0,007";"0,003";"0,011";"0,01";"0,003";"0,007";"0,014";"0,004";"0,003";"0,017";"0,004";"0,006";"0,015";"0,009";"0,004";"0,005";"0,015";"0,005";"0,004";"0,015";"0,004";"0,004";"0,009";"0,012";"0,004";"0,004";"0,015";"0,005";"0,004";"0,007";"0,014";"0,004";"0,003";"0,013";"0,008";"0,004";"0,004";"0,016";"0,004";"0,004";"0,009";"0,012";"0,004";"0,004";"0,013";"0,008";"0,004";"0,003";"0,018";"0,003";"0,004";"0,006";"0,015";"0,004";"0,004";"0,01";"0,015";"0,008";"0,009";"0,021";"0,008";"0,009";"0,014";"0,018";
"04/01/2022";"0,009";"0,007";"0,018";"0,01";"0,007";"0,009";"0,02";"0,005";"0,004";"0,009";"0,012";"0,004";"0,004";"0,013";"0,006";"0,004";"0,005";"0,016";"0,004";"0,004";"0,01";"0,011";"0,004";"0,004";"0,014";"0,006";"0,004";"0,004";"0,017";"0,003";"0,004";"0,009";"0,012";"0,004";"0,004";"0,018";"0,004";"0,004";"0,009";"0,011";"0,004";"0,004";"0,015";"0,005";"0,004";"0,005";"0,015";"0,004";"0,004";"0,009";"0,012";"0,003";"0,004";"0,013";"0,008";"0,004";"0,003";"0,017";"0,004";"0,004";"0,006";"0,015";"0,004";"0,003";"0,012";"0,009";"0,004";"0,004";"0,016";"0,035";"0,037";"0,041";"0,043";"0,032";"0,035";"0,05";"0,035";"0,036";"0,046";"0,038";"0,036";"0,04";"0,042";"0,036";"0,042";"0,044";"0,036";"0,041";"0,054";"0,054";"0,061";"0,055";"0,052";"0,063";"0,054";"0,052";
"05/01/2022";"0,06";"0,054";"0,052";"0,059";"0,055";"0,046";"0,014";"0,014";"0,007";"0,011";"0,014";"0,004";"0,008";"0,014";"0,004";"0,004";"0,016";"0,004";"0,004";"0,015";"0,005";"0,004";"0,012";"0,008";"0,004";"0,008";"0,012";"0,004";"0,004";"0,016";"0,004";"0,004";"0,017";"0,008";"0,003";"0,011";"0,009";"0,004";"0,006";"0,014";"0,004";"0,004";"0,016";"0,004";"0,004";"0,011";"0,009";"0,004";"0,006";"0,014";"0,004";"0,003";"0,016";"0,004";"0,004";"0,01";"0,01";"0,004";"0,004";"0,016";"0,004";"0,004";"0,013";"0,012";"0,007";"0,009";"0,018";"0,008";"0,007";"0,016";"0,011";"0,009";"0,012";"0,016";"0,007";"0,007";"0,02";"0,008";"0,007";"0,013";"0,017";"0,008";"0,007";"0,02";"0,008";"0,007";"0,012";"0,016";"0,011";"0,008";"0,019";"0,009";"0,013";"0,034";"0,017";"0,008";
"06/01/2022";"0,007";"0,017";"0,01";"0,006";"0,006";"0,02";"0,007";"0,006";"0,011";"0,012";"0,005";"0,004";"0,014";"0,008";"0,003";"0,004";"0,017";"0,004";"0,005";"0,009";"0,012";"0,004";"0,004";"0,012";"0,009";"0,004";"0,004";"0,014";"0,007";"0,004";"0,004";"0,017";"0,003";"0,004";"0,006";"0,016";"0,003";"0,004";"0,008";"0,013";"0,004";"0,003";"0,012";"0,009";"0,004";"0,004";"0,017";"0,003";"0,004";"0,007";"0,014";"0,004";"0,03";"0,039";"0,035";"0,028";"0,036";"0,158";"0,672";"0,444";"0,163";"0,039";"0,048";"0,041";"0,141";"0,406";"0,178";"0,033";"0,04";"0,039";"0,032";"0,039";"0,047";"0,039";"0,044";"0,049";"0,04";"0,042";"0,055";"0,045";"0,075";"0,055";"0,043";"0,043";"0,055";"0,046";"0,044";"0,057";"0,044";"0,044";"0,056";"0,046";"0,047";"0,056";"0,05";"0,013";
"07/01/2022";"0,012";"0,015";"0,007";"0,008";"0,019";"0,007";"0,008";"0,019";"0,007";"0,007";"0,013";"0,012";"0,006";"0,005";"0,017";"0,004";"0,004";"0,012";"0,008";"0,004";"0,004";"0,017";"0,004";"0,004";"0,007";"0,014";"0,004";"0,003";"0,009";"0,013";"0,004";"0,004";"0,008";"0,013";"0,004";"0,003";"0,008";"0,014";"0,004";"0,003";"0,018";"0,015";"0,003";"0,004";"0,005";"0,016";"0,004";"0,004";"0,003";"0,018";"0,004";"0,003";"0,004";"0,016";"0,006";"0,003";"0,004";"0,011";"0,01";"0,009";"0,033";"0,033";"0,039";"0,017";"0,003";"0,006";"0,016";"0,003";"0,004";"0,012";"0,054";"0,039";"0,039";"0,038";"0,049";"0,038";"0,035";"0,046";"0,058";"0,055";"0,058";"0,066";"0,058";"0,055";"0,067";"0,082";"0,357";"0,293";"0,145";"0,255";"0,047";"0,064";"0,049";"0,043";"0,246";"0,415";
"08/01/2022";"0,103";"0,005";"0,008";"0,014";"0,004";"0,004";"0,012";"0,01";"0,004";"0,004";"0,016";"0,005";"0,004";"0,005";"0,017";"0,004";"0,004";"0,008";"0,014";"0,004";"0,004";"0,01";"0,012";"0,004";"0,004";"0,012";"0,009";"0,005";"0,004";"0,013";"0,009";"0,004";"0,004";"0,012";"0,01";"0,005";"0,004";"0,01";"0,011";"0,005";"0,004";"0,01";"0,033";"0,032";"0,037";"0,046";"0,045";"0,362";"0,013";"0,02";"0,01";"0,007";"0,008";"0,015";"0,004";"0,004";"0,011";"0,011";"0,003";"0,004";"0,013";"0,009";"0,003";"0,031";"0,04";"0,035";"0,033";"0,037";"0,041";"0,041";"0,05";"0,046";"0,043";"0,047";"0,049";"0,04";"0,047";"0,049";"0,054";"0,066";"0,066";"0,06";"0,066";"0,065";"0,059";"0,065";"0,064";"0,062";"0,063";"0,067";"0,053";"0,052";"0,05";"0,045";"0,052";"0,048";
"09/01/2022";"0,043";"0,053";"0,047";"0,044";"0,053";"0,048";"0,044";"0,055";"0,047";"0,046";"0,053";"0,048";"0,038";"0,028";"0,024";"0,02";"0,027";"0,025";"0,011";"0,009";"0,011";"0,003";"0,006";"0,014";"0,003";"0,004";"0,016";"0,003";"0,004";"0,015";"0,004";"0,003";"0,015";"0,004";"0,004";"0,012";"0,007";"0,004";"0,008";"0,011";"0,005";"0,012";"0,017";"0,029";"0,03";"0,04";"0,027";"0,028";"0,037";"0,036";"0,03";"0,029";"0,041";"0,03";"0,031";"0,045";"0,035";"0,274";"0,082";"0,044";"0,025";"0,02";"0,013";"0,011";"0,02";"0,014";"0,038";"0,041";"0,042";"0,04";"0,048";"0,067";"0,214";"0,197";"0,053";"0,07";"0,068";"0,084";"0,065";"0,047";"0,063";"0,055";"0,071";"0,091";"0,083";"0,131";"0,069";"0,046";"0,039";"0,045";"0,047";"0,039";"0,042";"0,05";"0,041";"0,069";
"10/01/2022";"0,061";"0,019";"0,007";"0,019";"0,009";"0,007";"0,011";"0,016";"0,005";"0,005";"0,013";"0,011";"0,004";"0,004";"0,011";"0,012";"0,004";"0,004";"0,005";"0,019";"0,004";"0,004";"0,004";"0,01";"0,013";"0,004";"0,004";"0,009";"0,04";"0,012";"0,004";"0,004";"0,004";"0,015";"0,007";"0,004";"0,004";"0,008";"0,014";"0,004";"0,004";"0,004";"0,015";"0,006";"0,004";"0,004";"0,012";"0,009";"0,004";"0,003";"0,011";"0,01";"0,004";"0,004";"0,01";"0,011";"0,004";"0,004";"0,009";"0,012";"0,004";"0,004";"0,008";"0,013";"0,004";"0,004";"0,006";"0,015";"0,004";"0,004";"0,004";"0,018";"0,004";"0,004";"0,004";"0,013";"0,009";"0,024";"0,034";"0,039";"0,04";"0,034";"0,034";"0,042";"0,038";"0,034";"0,038";"0,018";"0,01";"0,009";"0,009";"0,017";"0,014";"0,008";"0,007";"0,015";
"11/01/2022";"0,014";"0,008";"0,008";"0,01";"0,018";"0,007";"0,007";"0,007";"0,017";"0,009";"0,005";"0,004";"0,006";"0,018";"0,004";"0,004";"0,024";"0,036";"0,036";"0,004";"0,004";"0,004";"0,015";"0,008";"0,004";"0,004";"0,023";"0,044";"0,031";"0,006";"0,004";"0,009";"0,014";"0,004";"0,004";"0,012";"0,045";"0,024";"0,004";"0,004";"0,024";"0,036";"0,382";"0,089";"0,204";"0,041";"0,173";"0,052";"0,036";"0,299";"0,315";"0,084";"0,004";"0,005";"0,007";"0,014";"0,004";"0,004";"0,011";"0,011";"0,004";"0,004";"0,012";"0,01";"0,004";"0,004";"0,011";"0,011";"0,004";"0,004";"0,009";"0,014";"0,004";"0,004";"0,005";"0,023";"0,013";"0,032";"0,031";"0,027";"0,014";"0,004";"0,004";"0,004";"0,018";"0,005";"0,004";"0,004";"0,015";"0,007";"0,005";"0,004";"0,012";"0,01";"0,004";"0,005";
"12/01/2022";"0,007";"0,015";"0,004";"0,004";"0,005";"0,018";"0,004";"0,019";"0,032";"0,043";"0,021";"0,007";"0,008";"0,014";"0,012";"0,005";"0,005";"0,009";"0,014";"0,004";"0,005";"0,004";"0,018";"0,005";"0,004";"0,004";"0,032";"0,035";"0,031";"0,019";"0,011";"0,01";"0,005";"0,004";"0,01";"0,014";"0,004";"0,005";"0,007";"0,015";"0,004";"0,004";"0,004";"0,018";"0,005";"0,004";"0,004";"0,017";"0,004";"0,005";"0,008";"0,035";"0,03";"0,03";"0,041";"0,031";"0,03";"0,03";"0,015";"0,003";"0,004";"0,012";"0,009";"0,004";"0,003";"0,017";"0,004";"0,003";"0,015";"0,045";"0,029";"0,029";"0,035";"0,038";"0,012";"0,003";"0,013";"0,009";"0,004";"0,003";"0,015";"0,007";"0,023";"0,03";"0,041";"0,034";"0,028";"0,03";"0,044";"0,033";"0,033";"0,032";"0,049";"0,034";"0,034";"0,039";
"13/01/2022";"0,048";"0,039";"0,035";"0,045";"0,036";"0,032";"0,032";"0,042";"0,031";"0,032";"0,041";"0,035";"0,033";"0,033";"0,043";"0,03";"0,031";"0,039";"0,036";"0,032";"0,033";"0,043";"0,032";"0,031";"0,04";"0,034";"0,03";"0,033";"0,042";"0,032";"0,031";"0,043";"0,033";"0,03";"0,036";"0,036";"0,029";"0,029";"0,039";"0,028";"0,03";"0,042";"0,031";"0,032";"0,043";"0,031";"0,031";"0,042";"0,039";"0,033";"0,041";"0,044";"0,036";"0,118";"0,017";"0,006";"0,005";"0,017";"0,005";"0,007";"0,011";"0,012";"0,007";"0,004";"0,016";"0,004";"0,003";"0,012";"0,008";"0,004";"0,004";"0,016";"0,025";"0,049";"0,054";"0,054";"0,046";"0,048";"0,06";"0,037";"0,041";"0,055";"0,041";"0,041";"0,086";"0,098";"0,033";"0,055";"0,039";"0,042";"0,05";"0,045";"0,039";"0,041";"0,043";"0,035";
"14/01/2022";"0,041";"0,042";"0,032";"0,034";"0,028";"0,006";"0,005";"0,016";"0,005";"0,004";"0,029";"0,032";"0,03";"0,037";"0,032";"0,029";"0,012";"0,009";"0,004";"0,007";"0,013";"0,006";"0,033";"0,041";"0,029";"0,028";"0,039";"0,015";"0,004";"0,014";"0,006";"0,004";"0,011";"0,009";"0,032";"0,033";"0,017";"0,006";"0,01";"0,011";"0,004";"0,006";"0,013";"0,004";"0,005";"0,015";"0,004";"0,004";"0,016";"0,004";"0,004";"0,015";"0,005";"0,004";"0,012";"0,008";"0,004";"0,008";"0,012";"0,004";"0,004";"0,016";"0,003";"0,004";"0,016";"0,004";"0,004";"0,013";"0,007";"0,004";"0,008";"0,012";"0,004";"0,004";"0,016";"0,008";"0,013";"0,026";"0,301";"0,41";"0,277";"0,027";"0,024";"0,036";"0,041";"0,049";"0,038";"0,038";"0,043";"0,027";"0,021";"0,022";"0,015";"0,021";"0,024";"0,013";
"15/01/2022";"0,029";"0,029";"0,022";"0,016";"0,021";"0,009";"0,005";"0,017";"0,005";"0,004";"0,015";"0,006";"0,004";"0,011";"0,01";"0,005";"0,004";"0,017";"0,004";"0,004";"0,013";"0,007";"0,004";"0,007";"0,014";"0,004";"0,004";"0,015";"0,006";"0,005";"0,007";"0,013";"0,004";"0,004";"0,014";"0,007";"0,004";"0,004";"0,018";"0,004";"0,005";"0,016";"0,004";"0,004";"0,044";"0,03";"0,027";"0,369";"0,061";"0,238";"0,038";"0,015";"0,015";"0,02";"0,288";"0,338";"0,081";"0,005";"0,005";"0,015";"0,006";"0,005";"0,01";"0,011";"0,004";"0,005";"0,017";"0,033";"0,031";"0,036";"0,035";"0,028";"0,032";"0,038";"0,031";"0,034";"0,047";"0,004";"0,003";"0,013";"0,007";"0,004";"0,007";"0,013";"0,004";"0,004";"0,016";"0,004";"0,004";"0,01";"0,01";"0,003";"0,004";"0,016";"0,026";"0,045";
